"1702.05762","Peter Pivovarov","Grigoris Paouris, Peter Pivovarov, Petros Valettas","On a quantitative reversal of Alexandrov's inequality","Corrected the probability estimate in the lower small deviation
  inequality (1.12) in Theorem 1.2",,,,"math.MG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Alexandrov's inequalities imply that for any convex body $A$, the sequence of
intrinsic volumes $V_1(A),\ldots,V_n(A)$ is non-increasing (when suitably
normalized). Milman's random version of Dvoretzky's theorem shows that a large
initial segment of this sequence is essentially constant, up to a critical
parameter called the Dvoretzky number. We show that this near-constant behavior
actually extends further, up to a different parameter associated with $A$. This
yields a new quantitative reverse inequality that sits between the approximate
reverse Urysohn inequality, due to Figiel--Tomczak-Jaegermann and Pisier, and
the sharp reverse Urysohn inequality for zonoids, due to Hug--Schneider. In
fact, we study concentration properties of the volume radius and mean width of
random projections of $A$ and show how these lead naturally to such reversals.
","[{""version"":""v1"",""created"":""Sun, 19 Feb 2017 16:06:50 GMT""},{""version"":""v2"",""created"":""Tue, 21 Feb 2017 15:13:07 GMT""}]","2017-02-22"
"1702.05763","Maurice Chandoo","Maurice Chandoo","Canonical Representations for Circular-Arc Graphs Using Flip Sets","24 pages",,"10.1007/s00453-018-0410-0",,"cs.DS","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We show that computing canonical representations for circular-arc (CA) graphs
reduces to computing certain subsets of vertices called flip sets. For a broad
class of CA graphs, which we call uniform, it suffices to compute a CA
representation to find such flip sets. As a consequence canonical
representations for uniform CA graphs can be obtained in polynomial-time. We
then investigate what kind of CA graphs pose a challenge to this approach. This
leads us to introduce the notion of restricted CA matrices and show that the
canonical representation problem for CA graphs is logspace-reducible to that of
restricted CA matrices. As a byproduct, we obtain the result that CA graphs
without induced 4-cycles can be canonized in logspace.
","[{""version"":""v1"",""created"":""Sun, 19 Feb 2017 16:09:28 GMT""},{""version"":""v2"",""created"":""Wed, 20 Dec 2017 18:55:59 GMT""}]","2018-02-02"
"1702.05764","Siheng Chen","Siheng Chen and Sufeng Niu and Leman Akoglu and Jelena Kova\v{c}evi\'c
  and Christos Faloutsos","Fast, Warped Graph Embedding: Unifying Framework and One-Click Algorithm",,,,,"cs.SI","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  What is the best way to describe a user in a social network with just a few
numbers? Mathematically, this is equivalent to assigning a vector
representation to each node in a graph, a process called graph embedding. We
propose a novel framework, GEM-D that unifies most of the past algorithms such
as LapEigs, DeepWalk and node2vec. GEM-D achieves its goal by decomposing any
graph embedding algorithm into three building blocks: node proximity function,
warping function and loss function. Based on thorough analysis of GEM-D, we
propose a novel algorithm, called UltimateWalk, which outperforms the
most-recently proposed state-of-the-art DeepWalk and node2vec. The
contributions of this work are: (1) The proposed framework, GEM-D unifies the
past graph embedding algorithms and provides a general recipe of how to design
a graph embedding; (2) the nonlinearlity in the warping function contributes
significantly to the quality of embedding and the exponential function is
empirically optimal; (3) the proposed algorithm, UltimateWalk is one-click (no
user-defined parameters), scalable and has a closed-form solution.
","[{""version"":""v1"",""created"":""Sun, 19 Feb 2017 16:22:27 GMT""}]","2017-02-21"
"1702.05765","Jules Guioth","Jules Guioth, \'Eric Bertin","A mass transport model with a simple non-factorized steady-state
  distribution","18 pages","J. Stat. Mech (2017) 063201","10.1088/1742-5468/aa6de2",,"cond-mat.stat-mech","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study a mass transport model on a ring with parallel update, where a
continuous mass is randomly redistributed along distinct links of the lattice,
choosing at random one of the two partitions at each time step. The
redistribution process on a given link depends on the masses on both sites, at
variance with the Zero Range Process and its continuous mass generalizations.
We show that the steady-state distribution takes a simple non-factorized form
that can be written as a sum of two inhomogeneous product measures. A
factorized measure is recovered for a symmetric mass redistribution,
corresponding to an equilibrium process. A non-equilibrium free energy can be
explicitly defined from the partition function. We evaluate different
characterizations of the `distance' to equilibrium, either dynamic or static:
the mass flux, the entropy production rate, the Gibbs free-energy difference
between the equilibrium and non-equilibrium stationary states, and the
derivative of the non-equilibrium free energy with respect to the applied
driving force. The connection between these different non-equilibrium
parameters is discussed.
","[{""version"":""v1"",""created"":""Sun, 19 Feb 2017 16:40:40 GMT""}]","2017-06-28"
"1702.05766","Daniel Nickelsen","Daniel Nickelsen","Master equation for She-Leveque scaling and its classification in terms
  of other Markov models of developed turbulence","27 pages, 1 figure, published version","J. Stat. Mech., 073209 (2017)","10.1088/1742-5468/aa786a",,"cond-mat.stat-mech physics.flu-dyn","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We derive the Markov process equivalent to She-Leveque scaling in homogeneous
and isotropic turbulence. The Markov process is a jump process for velocity
increments $u(r)$ in scale $r$ in which the jumps occur randomly but with
deterministic width in $u$. From its master equation we establish a
prescription to simulate the She-Leveque process and compare it with Kolmogorov
scaling. To put the She-Leveque process into the context of other established
turbulence models on the Markov level, we derive a diffusion process for $u(r)$
from two properties of the Navier-Stokes equation. This diffusion process
already includes Kolmogorov scaling, extended self-similarity and a class of
random cascade models. The fluctuation theorem of this Markov process implies a
""second law"" that puts a loose bound on the multipliers of the random cascade
models. This bound explicitly allows for inverse cascades, which are necessary
to satisfy the fluctuation theorem. By adding a jump process to the diffusion
process, we go beyond Kolmogorov scaling and formulate the most general scaling
law for the class of Markov processes having both diffusion and jump parts.
This Markov scaling law includes She-Leveque scaling and a scaling law derived
by Yakhot.
","[{""version"":""v1"",""created"":""Sun, 19 Feb 2017 16:49:32 GMT""},{""version"":""v2"",""created"":""Sun, 12 Mar 2017 13:39:14 GMT""},{""version"":""v3"",""created"":""Fri, 11 Aug 2017 05:51:31 GMT""}]","2017-08-14"
"1702.05767","Andrea De Lucia","Andrea De Lucia, Kai Litzius, Benjamin Kr\""uger, Oleg A. Tretiakov,
  Mathias Kl\""aui","Multiscale simulations of topological transformations in magnetic
  Skyrmions",,"Phys. Rev. B 96, 020405 (2017)","10.1103/PhysRevB.96.020405",,"cond-mat.mtrl-sci cond-mat.mes-hall","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Magnetic Skyrmions belong to the most interesting spin structures for the
development of future information technology as they have been predicted to be
topologically protected. To quantify their stability, we use an innovative
multiscale approach to simulating spin dynamics based on the
Landau-Lifshitz-Gilbert equation. The multiscale approach overcomes the
micromagnetic limitations that have hindered realistic studies using
conventional techniques. We first demonstrate how the stability of a Skyrmion
is influenced by the refinement of the computational mesh and reveal that
conventionally employed traditional micromagnetic simulations are inadequate
for this task. Furthermore, we determine the stability quantitatively using our
multiscale approach. As a key operation for devices, the process of
annihilating a Skyrmion by exciting it with a spin polarized current pulse is
analyzed, showing that Skyrmions can be reliably deleted by designing the pulse
shape.
","[{""version"":""v1"",""created"":""Sun, 19 Feb 2017 16:58:58 GMT""}]","2017-07-19"
"1702.05768","Michael Yampolsky","Artem Dudko and Michael Yampolsky","Almost every real quadratic polynomial has a poly-time computable Julia
  set","arXiv admin note: text overlap with arXiv:1404.1236",,,,"math.DS","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We prove that Collet-Eckmann rational maps have poly-time computable Julia
sets. As a consequence, almost all real quadratic Julia sets are poly-time.
","[{""version"":""v1"",""created"":""Sun, 19 Feb 2017 17:02:54 GMT""},{""version"":""v2"",""created"":""Wed, 9 Aug 2017 19:26:26 GMT""}]","2017-08-11"
"1702.05769","Hirokazu Nishimura","Hirokazu Nishimura","Weil Diffeology I: Classical Differential Geometry",,,,,"math.CT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Topos theory is a category-theoretic axiomatization of set theory. Model
categories are a category-theoretical framework for abstract homotopy theory.
They are complete and cocomplete categories endowed with three classes of
morphisms (called fibrations, cofibrations and equivalences) satisfying certain
axioms. Functors from the category of Weil algebras to the category of sets are
called Weil spaces by Wolfgang Bertram and form the Weil topos} after Eduardo
J. Dubuc. The Weil topos is endowed intrinsically with the Dubuc functor, a
functor from a larger category containing Weil algebras to the Weil topos
standing for the incarnation of each algebraic entity of the category in the
Weil topos. The Weil functor and the canonical ring object are to be defined in
terms of the Dubuc functor. The principal object in this paper is to present a
category-theoretical axiomatization of the Weil topos with the Dubuc functor
intended to be an adequate framework for axiomatic classical differential
geometry and hopefully comparable with model categories. We will give an
appropriate formulation and a rather complete proof of a generalization of the
familiar and desired fact that the tangent space of a microlinear Weil space is
a module over the canonical ring object.
","[{""version"":""v1"",""created"":""Sun, 19 Feb 2017 17:13:27 GMT""},{""version"":""v2"",""created"":""Tue, 21 Feb 2017 02:41:26 GMT""},{""version"":""v3"",""created"":""Mon, 4 Dec 2017 05:29:39 GMT""},{""version"":""v4"",""created"":""Mon, 11 Dec 2017 02:04:05 GMT""}]","2017-12-12"
"1702.05770","Lorenzo Sabattini","Lorenzo Sabattini, Cristian Secchi, Cesare Fantuzzi","Achieving the Desired Dynamic Behavior in Multi-Robot Systems
  Interacting with the Environment",,,"10.1109/ICRA.2017.7989241",,"cs.RO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper we consider the problem of controlling the dynamic behavior of
a multi-robot system while interacting with the environment. In particular, we
propose a general methodology that, by means of locally scaling inter-robot
coupling relationships, leads to achieving a desired interactive behavior. The
proposed method is shown to guarantee passivity preservation, which ensures a
safe interaction. The performance of the proposed methodology is evaluated in
simulation, over large-scale multi-robot systems.
","[{""version"":""v1"",""created"":""Sun, 19 Feb 2017 17:20:42 GMT""}]","2018-01-04"
"1702.05771","Heather Kulik","Jon Paul Janet and Heather J. Kulik","Predicting Electronic Structure Properties of Transition Metal Complexes
  with Neural Networks","26 pages of text, 13 figures, 4 tables","Chemical Science, 2017","10.1039/C7SC01247K",,"cond-mat.mtrl-sci physics.chem-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  High-throughput computational screening has emerged as a critical component
of materials discovery. Direct density functional theory (DFT) simulation of
inorganic materials and molecular transition metal complexes is often used to
describe subtle trends in inorganic bonding and spin-state ordering, but these
calculations are computationally costly and properties are sensitive to the
exchange-correlation functional employed. To begin to overcome these
challenges, we trained artificial neural networks (ANNs) to predict
quantum-mechanically-derived properties, including spin-state ordering,
sensitivity to Hartree-Fock exchange, and spin- state specific bond lengths in
transition metal complexes. Our ANN is trained on a small set of
inorganic-chemistry-appropriate empirical inputs that are both maximally
transferable and do not require precise three-dimensional structural
information for prediction. Using these descriptors, our ANN predicts
spin-state splittings of single-site transition metal complexes (i.e., Cr-Ni)
at arbitrary amounts of Hartree-Fock exchange to within 3 kcal/mol accuracy of
DFT calculations. Our exchange-sensitivity ANN enables improved predictions on
a diverse test set of experimentally-characterized transition metal complexes
by extrapolation from semi-local DFT to hybrid DFT. The ANN also outperforms
other machine learning models (i.e., support vector regression and kernel ridge
regression), demonstrating particularly improved performance in
transferability, as measured by prediction errors on the diverse test set. We
establish the value of new uncertainty quantification tools to estimate ANN
prediction uncertainty in computational chemistry, and we provide additional
heuristics for identification of when a compound of interest is likely to be
poorly predicted by the ANN.
","[{""version"":""v1"",""created"":""Sun, 19 Feb 2017 17:33:22 GMT""}]","2017-05-18"
